contrato;tipo_archivo_recaudo;periodo;mes;total_recaudo;total_transacciones;periodo_mes
retencion ica;presencial;2021;3;1485268358;94;2021-3-1
retencion ica;virtual;2021;3;3887399883;838;2021-3-1
servicios;presencial;2021;3;6935021;616;2021-3-1
sobretasa a la gasolina;presencial;2021;3;8791176000;8;2021-3-1
transferencias;presencial;2021;3;17902036071;5;2021-3-1
transferencias;virtual;2021;3;2978612365;40;2021-3-1
alumbrado publico;presencial;2021;4;6645886421;415;2021-4-1
alumbrado publico;virtual;2021;4;86800;1;2021-4-1
circulacion y transito;presencial;2021;4;12459585971;1776;2021-4-1
circulacion y transito;virtual;2021;4;23174631;474;2021-4-1
cuotas partes jubilatorias;presencial;2021;4;123628885;52;2021-4-1
deguello de ganado;presencial;2021;4;19386272;1;2021-4-1
deguello de ganado;virtual;2021;4;320012000;2;2021-4-1
delineacion urbana;presencial;2021;4;577081574;233;2021-4-1
delineacion urbana;virtual;2021;4;496002862;25;2021-4-1
estampilla procultura;virtual;2021;4;87160000;8;2021-4-1
impuesto predial;presencial;2021;4;25499246948;62772;2021-4-1
impuesto predial;virtual;2021;4;25568720306;23739;2021-4-1
impuesto telefonico;presencial;2021;4;1887544817;15;2021-4-1
impuesto telefonico;virtual;2021;4;3805248;16;2021-4-1
industria y comercio;presencial;2021;4;14152195127;16965;2021-4-1
industria y comercio;virtual;2021;4;34539333809;19863;2021-4-1
ingresos no tributarios;presencial;2021;4;1846315767;397;2021-4-1
ingresos no tributarios;virtual;2021;4;196518913;48;2021-4-1
movilidad;presencial;2021;4;7589676204;31075;2021-4-1
movilidad;virtual;2021;4;137861680;60;2021-4-1
multas codigo de policia;presencial;2021;4;48392563;94;2021-4-1
otros ingresos;presencial;2021;4;2,00489E+11;109;2021-4-1
otros ingresos;virtual;2021;4;330381336;9;2021-4-1
publicidad exterior visual;presencial;2021;4;95898941;271;2021-4-1
publicidad exterior visual;virtual;2021;4;2916197;1;2021-4-1
recursos fonset;virtual;2021;4;5781499779;37;2021-4-1
rendimientos financieros y recursos no ejecutados;presencial;2021;4;622757065;41;2021-4-1
rendimientos financieros y recursos no ejecutados;virtual;2021;4;2380803721;184;2021-4-1
rentas contractuales;presencial;2021;4;60949409;168;2021-4-1
rentas contractuales;virtual;2021;4;933457715;51;2021-4-1
retencion ica;virtual;2021;4;23462080;8;2021-4-1
servicios;presencial;2021;4;2603864;246;2021-4-1
servicios;virtual;2021;4;82672;9;2021-4-1
sobretasa a la gasolina;presencial;2021;4;10149337000;8;2021-4-1
transferencias;presencial;2021;4;401719972;2;2021-4-1
transferencias;virtual;2021;4;3885404512;42;2021-4-1
alumbrado publico;presencial;2021;5;301501177;286;2021-5-1
alumbrado publico;virtual;2021;5;86800;1;2021-5-1
circulacion y transito;presencial;2021;5;3559013475;2412;2021-5-1
circulacion y transito;virtual;2021;5;8226935;171;2021-5-1
cuotas partes jubilatorias;presencial;2021;5;159971704;43;2021-5-1
deguello de ganado;virtual;2021;5;284612000;2;2021-5-1
delineacion urbana;presencial;2021;5;587976430;245;2021-5-1
delineacion urbana;virtual;2021;5;104382862;24;2021-5-1
estampilla procultura;virtual;2021;5;106357000;7;2021-5-1
impuesto predial;presencial;2021;5;40426771637;157602;2021-5-1
impuesto predial;virtual;2021;5;33750097764;34480;2021-5-1
impuesto telefonico;presencial;2021;5;1763636032;26;2021-5-1
impuesto telefonico;virtual;2021;5;23397153;14;2021-5-1
industria y comercio;presencial;2021;5;77612284390;18618;2021-5-1
industria y comercio;virtual;2021;5;17408037000;14441;2021-5-1
ingresos no tributarios;presencial;2021;5;1976400484;648;2021-5-1
ingresos no tributarios;virtual;2021;5;118256448;81;2021-5-1
movilidad;presencial;2021;5;8642634645;34064;2021-5-1
movilidad;virtual;2021;5;149599960;72;2021-5-1
multas codigo de policia;presencial;2021;5;36366953;85;2021-5-1
otros ingresos;presencial;2021;5;2,65843E+11;164;2021-5-1
otros ingresos;virtual;2021;5;525677769;5;2021-5-1
publicidad exterior visual;presencial;2021;5;196036031;464;2021-5-1
publicidad exterior visual;virtual;2021;5;2916197;1;2021-5-1
recursos fonset;presencial;2021;5;11023964000;3;2021-5-1
recursos fonset;virtual;2021;5;2087157341;120;2021-5-1
rendimientos financieros y recursos no ejecutados;presencial;2021;5;3251238550;99;2021-5-1
rendimientos financieros y recursos no ejecutados;virtual;2021;5;2039496146;240;2021-5-1
rentas contractuales;presencial;2021;5;83567135;292;2021-5-1
rentas contractuales;virtual;2021;5;7385906668;51;2021-5-1
retencion ica;presencial;2021;5;1637596648;95;2021-5-1
retencion ica;virtual;2021;5;4325803525;839;2021-5-1
servicios;presencial;2021;5;3796871;380;2021-5-1
servicios;virtual;2021;5;45000;7;2021-5-1
sobretasa a la gasolina;presencial;2021;5;3420941000;4;2021-5-1
transferencias;presencial;2021;5;22458900;2;2021-5-1
transferencias;virtual;2021;5;3011672132;41;2021-5-1
alumbrado publico;presencial;2021;6;5795749686;1425;2021-6-1
circulacion y transito;presencial;2021;6;3771949000;3462;2021-6-1
circulacion y transito;virtual;2021;6;15749566;234;2021-6-1
cuotas partes jubilatorias;presencial;2021;6;770797540;41;2021-6-1
deguello de ganado;virtual;2021;6;304048000;2;2021-6-1
delineacion urbana;presencial;2021;6;1177219936;236;2021-6-1
delineacion urbana;virtual;2021;6;2431199000;16;2021-6-1
estampilla procultura;presencial;2021;6;2640531;1;2021-6-1
estampilla procultura;virtual;2021;6;136482000;10;2021-6-1
impuesto predial;presencial;2021;6;28485948429;117157;2021-6-1
impuesto predial;virtual;2021;6;13592963153;21157;2021-6-1
impuesto telefonico;presencial;2021;6;1802238390;28;2021-6-1
impuesto telefonico;virtual;2021;6;1635532;11;2021-6-1
industria y comercio;presencial;2021;6;7424266255;15431;2021-6-1
industria y comercio;virtual;2021;6;15659630690;12541;2021-6-1
ingresos no tributarios;presencial;2021;6;1738123913;744;2021-6-1
ingresos no tributarios;virtual;2021;6;66799147;74;2021-6-1
movilidad;presencial;2021;6;9308978510;35941;2021-6-1
movilidad;virtual;2021;6;143271800;76;2021-6-1
multas codigo de policia;presencial;2021;6;97348109;310;2021-6-1
